player_api_id,player_name,rating_growth
303824,Memphis Depay,22.42857142857143
193869,Rodrigo,22.400000000000006
179845,Romain Hamouma,22.33333333333333
93480,Sofiane Feghouli,22.33333333333333
179393,Ludovic Lamine Sane,22.25
46242,Bakaye Traore,22.25
33843,Jesus Gamez,22.16666666666667
31432,Joe Hart,22.16666666666667
179517,Yassine Jebbour,22.0
93485,Romain Genevois,22.0
42466,Andrea Russotto,22.0
39455,Sokratis Papastathopoulos,22.0
127130,Jonjo Shelvey,22.0
148335,Mehdi Carcela-Gonzalez,22.0
186137,Phil Jones,22.0
166471,Erik Sviatchenko,22.0
94008,Steeven Langil,22.0
145066,Tripy Makonda,22.0
171803,Gregg Wylde,22.0
96532,Marcello Gazzola,22.0
184521,Florian Lejeune,22.0
38188,Martin Lanig,22.0
114492,Kevin Pezzoni,22.0
36183,Jerome Boateng,22.0
32920,Rasmus Bengtsson,22.0
31568,Soeren Rieks,22.0
26376,Julien Quercia,22.0
140495,Vincent Ruefli,22.0
139895,Lukasz Burliga,22.0
245530,Suk-Young Yun,22.0
37240,Scott Arfield,22.0
115160,Brown Ideye,22.0
27376,Max Gruen,22.0
24590,Ricardo,22.0
421786,Mario Lemina,22.0
25584,Cribari,22.0
35530,Rory Boulding,22.0
91503,Lasse Nielsen,22.0
49970,Gary Medel,22.0
157375,Benoit Poulain,22.0
69149,Mitchell Langerak,22.0
58354,Stefan Reinartz,22.0
68870,Wojciech Kedziora,22.0
58346,Max Kruse,22.0
155129,Harry Arter,22.0
355901,Morgan Sanson,22.0
34563,Morgaro Gomis,22.0
23538,Matt Jarvis,22.0
70078,Stefan Johansen,22.0
199834,Remy Cabella,22.0
154232,Grzegorz Krychowiak,22.0
25338,Marco Rossi,22.0
71603,Cedric Mongongu,22.0
193807,Jonathan Rivierez,22.0
193978,Tomas Pina,22.0
190851,Kenny McLean,22.0
97746,Jens Grahl,22.0
103419,Andy King,22.0
157560,William Remy,22.0
183462,Hugo Mallo,22.0
107588,Theodor Gebre Selassie,22.0
95614,Gertjan De Mets,22.0
40487,Emir Bajrami,22.0
150396,Alex,21.83333333333333
274787,Yvon Mvogo,21.799999999999997
42388,Hugo Campagnaro,21.714285714285708
148302,Cheikhou Kouyate,21.66666666666667
49586,Ralf Faehrmann,21.66666666666667
104778,Lorenzo Pasciuti,21.666666666666664
174850,Erik Lamela,21.625
40165,Pablo Osvaldo,21.57142857142857
113465,Junior Hoilett,21.5
103089,Rodnei,21.5
167035,Anthony Lopes,21.5
56992,Marco Biagianti,21.5
78901,Johnny Russell,21.5
97752,Timo Gebhart,21.5
73574,Harmeet Singh,21.5
114738,Luca Zuffi,21.5
78410,Marco Schoenbaechler,21.5
150388,Federico Casarini,21.5
94467,Ryan McGowan,21.5
150038,Braga,21.5
41189,Romain Danze,21.5
172615,Ryan Mendes,21.5
46875,Mehdi Benatia,21.41666666666667
264190,Thorgan Hazard,21.400000000000006
166675,Derrick Tshimanga,21.400000000000006
41618,Yann Sommer,21.400000000000006
210429,Romain Metannire,21.33333333333333
42297,Fabian Lustenberger,21.33333333333333
46353,Danny Rose,21.33333333333333
150024,Fernando Alexandre,21.33333333333333
156551,Eliaquim Mangala,21.299999999999997
121093,Sercan Sararer,21.25
41045,Samir Ujkani,21.22222222222223
120919,Aatif Chahechouhe,21.200000000000003
24385,Abel Aguilar,21.16666666666667
39713,Ciro Polito,21.16666666666667
299374,Antonio Di Gaudio,21.16666666666667
192920,Benjamin Stambouli,21.14285714285714
179798,Florin Berenguer,21.0
264842,Alessandro Florenzi,21.0
179410,Idrissa Gana Gueye,21.0
140932,Milos Kosanovic,21.0
119351,Zavon Hines,21.0
37373,Lars Bender,21.0
37768,Ciro Capuano,21.0
248689,Michy Batshuayi,21.0
117545,Sean Morrison,21.0
120082,Mickael Facchinetti,21.0
118713,Jurgen Prutsch,21.0
26818,Anders Lindegaard,21.0
15361,Jasmin Buric,21.0
32593,Andrew Driver,21.0
33431,Romain Salin,21.0
181227,Tom Hateley,21.0
160627,Cedric Soares,21.0
35905,Gary Hooper,21.0
427438,Hector Bellerin,21.0
447084,Niklas Suele,21.0
172841,Callum McManaman,21.0
173427,Lucas Alfonso Orban,21.0
109065,Wilfried Moimbe,21.0
112397,Vitor Gomes,21.0
41536,Daniele Capelli,21.0
41365,Etienne Capoue,21.0
40695,Ryan Shawcross,21.0
41097,Stephane Ruffier,21.0
189190,Marcin Kaminski,21.0
213688,Martin Montoya,21.0
213729,Jonathan Viera,21.0
214685,Carl Jenkinson,21.0
46374,Luca Antonelli,21.0
159594,Francis Coquelin,21.0
150313,Fabio Faria,21.0
165679,Samba Sow,21.0
67306,Mario Gavranovic,21.0
156716,Mathieu Philippe Peybernes,21.0
72464,Jamie Murphy,21.0
72518,Juraj Kucka,21.0
93361,Jonathan Ayite,21.0
89240,Adam Hlousek,21.0
79246,Giovanni Sio,21.0
92718,Piotr Malinowski,21.0
93458,Steven Mouyokolo,21.0
208929,Brecht Dejaeghere,21.0
169756,Adrian,21.0
23587,Felix Bastians,21.0
206182,Knowledge Musona,21.0
150872,Wakaso Mubarak,21.0
150737,Jose Catala,21.0
150649,Sergio Canales,21.0
150565,Pierre-Emerick Aubameyang,21.0
287689,Formose Mendy,21.0
438572,Simon Gustafson,21.0
24970,Cristian Zapata,21.0
289250,Alassane Tambe,21.0
24275,Simon Ramsden,21.0
30836,Scott Chipperfield,21.0
282674,Daniel Carvajal,21.0
31160,Jim Larsen,21.0
